buy-in date,sell-by date,shareholding,stock selection results,date of selection,whether stock selection date,position yield,index yield
2013-4-1,2013-4-26,中发科技(sh600520) 深天地Ａ(sz000023) 汇源通信(sz000586) 中京电子(sz002579) 龙生股份(sz002625) 天龙集团(sz300063) 双龙股份(sz300108) 新开源(sz300109) 亿通科技(sz300211) 麦捷科技(sz300319) ,金宇车城(sz000803) 天润控股(sz002113) 蓉胜超微(sz002141) 科冕木业(sz002354) 龙生股份(sz002625) 华伍股份(sz300095) 昌红科技(sz300151) 科斯伍德(sz300192) 南通锻压(sz300280) 麦捷科技(sz300319) ,2013-3-29,TRUE,-0.036324767,-0.019145679
2013-5-2,2013-5-31,金宇车城(sz000803) 天润控股(sz002113) 蓉胜超微(sz002141) 科冕木业(sz002354) 龙生股份(sz002625) 华伍股份(sz300095) 昌红科技(sz300151) 科斯伍德(sz300192) 南通锻压(sz300280) 麦捷科技(sz300319) ,中发科技(sh600520) 三变科技(sz002112) 湘潭电化(sz002125) 丹甫股份(sz002366) 通达动力(sz002576) 棒杰股份(sz002634) 天龙集团(sz300063) 新开源(sz300109) 联建光电(sz300269) 温州宏丰(sz300283) ,2013-4-26,TRUE,0.160169494,0.065018326
2013-6-3,2013-6-28,中发科技(sh600520) 三变科技(sz002112) 湘潭电化(sz002125) 丹甫股份(sz002366) 通达动力(sz002576) 棒杰股份(sz002634) 天龙集团(sz300063) 新开源(sz300109) 联建光电(sz300269) 温州宏丰(sz300283) ,中发科技(sh600520) 丹甫股份(sz002366) 通达动力(sz002576) 棒杰股份(sz002634) 天龙集团(sz300063) 金力泰(sz300225) 永利带业(sz300230) 美晨科技(sz300237) 联建光电(sz300269) 温州宏丰(sz300283) ,2013-5-31,TRUE,-0.197701653,-0.155688048
2013-7-1,2013-7-31,中发科技(sh600520) 丹甫股份(sz002366) 通达动力(sz002576) 棒杰股份(sz002634) 天龙集团(sz300063) 金力泰(sz300225) 永利带业(sz300230) 美晨科技(sz300237) 联建光电(sz300269) 温州宏丰(sz300283) ,凤竹纺织(sh600493) 中发科技(sh600520) 万鸿集团(sh600681) 三变科技(sz002112) 龙生股份(sz002625) 长城集团(sz300089) 新开源(sz300109) 亿通科技(sz300211) 永利带业(sz300230) 温州宏丰(sz300283) ,2013-6-28,TRUE,0.178925394,-0.003462629
2013-8-1,2013-8-30,凤竹纺织(sh600493) 中发科技(sh600520) 万鸿集团(sh600681) 三变科技(sz002112) 龙生股份(sz002625) 长城集团(sz300089) 新开源(sz300109) 亿通科技(sz300211) 永利带业(sz300230) 温州宏丰(sz300283) ,长春一东(sh600148) 中发科技(sh600520) 熊猫烟花(sh600599) 深天地Ａ(sz000023) 三变科技(sz002112) 湘潭电化(sz002125) 新开源(sz300109) 元力股份(sz300174) 亿通科技(sz300211) 美晨科技(sz300237) ,2013-7-31,TRUE,0.086546859,0.055124896
2013-9-2,2013-9-30,长春一东(sh600148) 中发科技(sh600520) 熊猫烟花(sh600599) 深天地Ａ(sz000023) 三变科技(sz002112) 湘潭电化(sz002125) 新开源(sz300109) 元力股份(sz300174) 亿通科技(sz300211) 美晨科技(sz300237) ,长春一东(sh600148) 凤竹纺织(sh600493) 熊猫烟花(sh600599) 汇源通信(sz000586) 三变科技(sz002112) 湘潭电化(sz002125) 通达动力(sz002576) 新开源(sz300109) 元力股份(sz300174) 亿通科技(sz300211) ,2013-8-30,TRUE,0.061730514,0.04111223
2013-10-8,2013-10-31,长春一东(sh600148) 凤竹纺织(sh600493) 熊猫烟花(sh600599) 汇源通信(sz000586) 三变科技(sz002112) 湘潭电化(sz002125) 通达动力(sz002576) 新开源(sz300109) 元力股份(sz300174) 亿通科技(sz300211) ,冀东装备(sz000856) 湘潭电化(sz002125) 法因数控(sz002270) 通达动力(sz002576) 龙生股份(sz002625) 新开源(sz300109) 元力股份(sz300174) 永利带业(sz300230) 佳创视讯(sz300264) 和晶科技(sz300279) ,2013-9-30,TRUE,0.019990531,-0.014661442
2013-11-1,2013-11-29,冀东装备(sz000856) 湘潭电化(sz002125) 法因数控(sz002270) 通达动力(sz002576) 龙生股份(sz002625) 新开源(sz300109) 元力股份(sz300174) 永利带业(sz300230) 佳创视讯(sz300264) 和晶科技(sz300279) ,万鸿集团(sh600681) 吉林化纤(sz000420) 德棉股份(sz002072) 三变科技(sz002112) 通达动力(sz002576) 龙生股份(sz002625) 新开源(sz300109) 元力股份(sz300174) 鸿特精密(sz300176) 和晶科技(sz300279) ,2013-10-31,TRUE,0.134277788,0.027475861
2013-12-2,2013-12-31,万鸿集团(sh600681) 吉林化纤(sz000420) 德棉股份(sz002072) 三变科技(sz002112) 通达动力(sz002576) 龙生股份(sz002625) 新开源(sz300109) 元力股份(sz300174) 鸿特精密(sz300176) 和晶科技(sz300279) ,冀东装备(sz000856) 德棉股份(sz002072) 九鼎新材(sz002201) 通达动力(sz002576) 天龙集团(sz300063) 新开源(sz300109) 元力股份(sz300174) 鸿特精密(sz300176) 银禧科技(sz300221) 温州宏丰(sz300283) ,2013-11-29,TRUE,0.031192718,-0.044654645
2014-1-2,2014-1-30,冀东装备(sz000856) 德棉股份(sz002072) 九鼎新材(sz002201) 通达动力(sz002576) 天龙集团(sz300063) 新开源(sz300109) 元力股份(sz300174) 鸿特精密(sz300176) 银禧科技(sz300221) 温州宏丰(sz300283) ,长春一东(sh600148) 凤竹纺织(sh600493) 大连热电(sh600719) 博闻科技(sh600883) 渝三峡Ａ(sz000565) 蓝鼎控股(sz000971) 通达动力(sz002576) 天龙集团(sz300063) 鸿特精密(sz300176) 银禧科技(sz300221) ,2013-12-31,TRUE,0.058896259,-0.05475466
