buy-in date,sell-by date,shareholding,stock selection results,date of selection,whether stock selection date,position yield,index yield
2015-10-8,2015-10-30,维科精华(sh600152) 大杨创世(sh600233) 联明股份(sh603006) 河池化工(sz000953) 湘潭电化(sz002125) 跃岭股份(sz002725) 万福生科(sz300268) 同大股份(sz300321) 华虹计通(sz300330) 富邦股份(sz300387) ,维科精华(sh600152) 大杨创世(sh600233) 金瑞矿业(sh600714) 天津普林(sz002134) 安纳达(sz002136) 川润股份(sz002272) 鼎泰新材(sz002352) 跃岭股份(sz002725) 华虹计通(sz300330) 富邦股份(sz300387) ,2015-9-30,TRUE,0.330899444,0.103382819
2015-11-2,2015-11-30,维科精华(sh600152) 大杨创世(sh600233) 金瑞矿业(sh600714) 天津普林(sz002134) 安纳达(sz002136) 川润股份(sz002272) 鼎泰新材(sz002352) 跃岭股份(sz002725) 华虹计通(sz300330) 富邦股份(sz300387) ,大杨创世(sh600233) 金瑞矿业(sh600714) 贵绳股份(sh600992) 天津普林(sz002134) 安纳达(sz002136) 晨光生物(sz300138) 温州宏丰(sz300283) 科恒股份(sz300340) 富邦股份(sz300387) 康跃科技(sz300391) ,2015-10-30,TRUE,0.227660309,0.009148067
2015-12-1,2015-12-31,大杨创世(sh600233) 金瑞矿业(sh600714) 贵绳股份(sh600992) 天津普林(sz002134) 安纳达(sz002136) 晨光生物(sz300138) 温州宏丰(sz300283) 科恒股份(sz300340) 富邦股份(sz300387) 康跃科技(sz300391) ,开创国际(sh600097) 长春一东(sh600148) 湖南海利(sh600731) 贵绳股份(sh600992) 鼎泰新材(sz002352) 温州宏丰(sz300283) 同大股份(sz300321) 华虹计通(sz300330) 富邦股份(sz300387) 康跃科技(sz300391) ,2015-11-30,TRUE,0.140633279,0.04615005
2016-1-4,2016-1-29,开创国际(sh600097) 长春一东(sh600148) 湖南海利(sh600731) 贵绳股份(sh600992) 鼎泰新材(sz002352) 温州宏丰(sz300283) 同大股份(sz300321) 华虹计通(sz300330) 富邦股份(sz300387) 康跃科技(sz300391) ,长春一东(sh600148) 维科精华(sh600152) 河池化工(sz000953) 天津普林(sz002134) 通润装备(sz002150) 鼎泰新材(sz002352) 亿通科技(sz300211) 温州宏丰(sz300283) 同大股份(sz300321) 康跃科技(sz300391) ,2015-12-31,TRUE,-0.332691447,-0.210375235
2016-2-1,2016-2-29,长春一东(sh600148) 维科精华(sh600152) 河池化工(sz000953) 天津普林(sz002134) 通润装备(sz002150) 鼎泰新材(sz002352) 亿通科技(sz300211) 温州宏丰(sz300283) 同大股份(sz300321) 康跃科技(sz300391) ,维科精华(sh600152) 贵绳股份(sh600992) 天津普林(sz002134) 鼎泰新材(sz002352) 跃岭股份(sz002725) 亿通科技(sz300211) 梅安森(sz300275) 温州宏丰(sz300283) 同大股份(sz300321) 富邦股份(sz300387) ,2016-1-29,TRUE,-0.009226559,-0.023291889
2016-3-1,2016-3-31,维科精华(sh600152) 贵绳股份(sh600992) 天津普林(sz002134) 鼎泰新材(sz002352) 跃岭股份(sz002725) 亿通科技(sz300211) 梅安森(sz300275) 温州宏丰(sz300283) 同大股份(sz300321) 富邦股份(sz300387) ,长春一东(sh600148) 维科精华(sh600152) 红星发展(sh600367) 北矿磁材(sh600980) 三特索道(sz002159) 鼎泰新材(sz002352) 华伍股份(sz300095) 元力股份(sz300174) 同大股份(sz300321) 富邦股份(sz300387) ,2016-2-29,TRUE,0.327258674,0.118374822
2016-4-1,2016-4-29,长春一东(sh600148) 维科精华(sh600152) 红星发展(sh600367) 北矿磁材(sh600980) 三特索道(sz002159) 鼎泰新材(sz002352) 华伍股份(sz300095) 元力股份(sz300174) 同大股份(sz300321) 富邦股份(sz300387) ,开创国际(sh600097) 维科精华(sh600152) 惠天热电(sz000692) 乐通股份(sz002319) 永安药业(sz002365) 长江润发(sz002435) 登云股份(sz002715) 海达股份(sz300320) 富邦股份(sz300387) 力星股份(sz300421) ,2016-3-31,TRUE,0.027023854,-0.019060996
2016-5-3,2016-5-31,开创国际(sh600097) 维科精华(sh600152) 惠天热电(sz000692) 乐通股份(sz002319) 永安药业(sz002365) 长江润发(sz002435) 登云股份(sz002715) 海达股份(sz300320) 富邦股份(sz300387) 力星股份(sz300421) ,恒丰纸业(sh600356) 鲁北化工(sh600727) 湖南海利(sh600731) 贵绳股份(sh600992) 惠天热电(sz000692) 中钢天源(sz002057) 三特索道(sz002159) 长江润发(sz002435) 跃岭股份(sz002725) 梅安森(sz300275) ,2016-4-29,TRUE,-0.04449507,0.004057971
2016-6-1,2016-6-30,恒丰纸业(sh600356) 鲁北化工(sh600727) 湖南海利(sh600731) 贵绳股份(sh600992) 惠天热电(sz000692) 中钢天源(sz002057) 三特索道(sz002159) 长江润发(sz002435) 跃岭股份(sz002725) 梅安森(sz300275) ,开创国际(sh600097) 维科精华(sh600152) 恒丰纸业(sh600356) 惠泉啤酒(sh600573) 鲁北化工(sh600727) 湖南海利(sh600731) 三联商社(sh600898) 贵绳股份(sh600992) 华虹计通(sz300330) 科隆精化(sz300405) ,2016-5-31,TRUE,0.068973953,-0.004934439
2016-7-1,2016-7-29,开创国际(sh600097) 维科精华(sh600152) 恒丰纸业(sh600356) 惠泉啤酒(sh600573) 鲁北化工(sh600727) 湖南海利(sh600731) 三联商社(sh600898) 贵绳股份(sh600992) 华虹计通(sz300330) 科隆精化(sz300405) ,维科精华(sh600152) 恒丰纸业(sh600356) 鲁北化工(sh600727) 湖南海利(sh600731) 三联商社(sh600898) 贵绳股份(sh600992) 惠天热电(sz000692) 锐奇股份(sz300126) 梅安森(sz300275) 天山生物(sz300313) ,2016-6-30,TRUE,-0.006542253,0.015856458
2016-8-1,2016-8-31,维科精华(sh600152) 恒丰纸业(sh600356) 鲁北化工(sh600727) 湖南海利(sh600731) 三联商社(sh600898) 贵绳股份(sh600992) 惠天热电(sz000692) 锐奇股份(sz300126) 梅安森(sz300275) 天山生物(sz300313) ,长春一东(sh600148) 恒丰纸业(sh600356) 惠泉啤酒(sh600573) 湖南海利(sh600731) 辅仁药业(sh600781) 贵绳股份(sh600992) 天津普林(sz002134) 锐奇股份(sz300126) 天山生物(sz300313) 南华仪器(sz300417) ,2016-7-29,TRUE,0.066524981,0.038658772
2016-9-1,2016-9-30,长春一东(sh600148) 恒丰纸业(sh600356) 惠泉啤酒(sh600573) 湖南海利(sh600731) 辅仁药业(sh600781) 贵绳股份(sh600992) 天津普林(sz002134) 锐奇股份(sz300126) 天山生物(sz300313) 南华仪器(sz300417) ,维科精华(sh600152) 恒丰纸业(sh600356) 惠泉啤酒(sh600573) 鲁北化工(sh600727) 湖南海利(sh600731) 贵绳股份(sh600992) 中水渔业(sz000798) 天津普林(sz002134) 天山生物(sz300313) 南华仪器(sz300417) ,2016-8-31,TRUE,0.008196894,-0.022390235
2016-10-10,2016-10-31,维科精华(sh600152) 恒丰纸业(sh600356) 惠泉啤酒(sh600573) 鲁北化工(sh600727) 湖南海利(sh600731) 贵绳股份(sh600992) 中水渔业(sz000798) 天津普林(sz002134) 天山生物(sz300313) 南华仪器(sz300417) ,长春一东(sh600148) 维科精华(sh600152) 新农开发(sh600359) 湖南海利(sh600731) 贵绳股份(sh600992) 中水渔业(sz000798) 兰州黄河(sz000929) 台基股份(sz300046) 科新机电(sz300092) 沃施股份(sz300483) ,2016-9-30,TRUE,0.031664598,0.025512713
2016-11-1,2016-11-30,长春一东(sh600148) 维科精华(sh600152) 新农开发(sh600359) 湖南海利(sh600731) 贵绳股份(sh600992) 中水渔业(sz000798) 兰州黄河(sz000929) 台基股份(sz300046) 科新机电(sz300092) 沃施股份(sz300483) ,太化股份(sh600281) 恒丰纸业(sh600356) 新农开发(sh600359) 新赛股份(sh600540) 鲁北化工(sh600727) 钱江生化(sh600796) 中水渔业(sz000798) 天津普林(sz002134) 台基股份(sz300046) 沃施股份(sz300483) ,2016-10-31,TRUE,0.080232169,0.060462551
2016-12-1,2016-12-30,太化股份(sh600281) 恒丰纸业(sh600356) 新农开发(sh600359) 新赛股份(sh600540) 鲁北化工(sh600727) 钱江生化(sh600796) 中水渔业(sz000798) 天津普林(sz002134) 台基股份(sz300046) 沃施股份(sz300483) ,恒丰纸业(sh600356) 新农开发(sh600359) 三毛派神(sz000779) 中水渔业(sz000798) 兰州黄河(sz000929) 台基股份(sz300046) 锐奇股份(sz300126) 梅安森(sz300275) 康跃科技(sz300391) 科隆精化(sz300405) ,2016-11-30,TRUE,0.005137438,-0.064420577
2017-1-3,2017-1-26,恒丰纸业(sh600356) 新农开发(sh600359) 三毛派神(sz000779) 中水渔业(sz000798) 兰州黄河(sz000929) 台基股份(sz300046) 锐奇股份(sz300126) 梅安森(sz300275) 康跃科技(sz300391) 科隆精化(sz300405) ,新赛股份(sh600540) 湖南海利(sh600731) 惠天热电(sz000692) 三变科技(sz002112) 台基股份(sz300046) 万讯自控(sz300112) 锐奇股份(sz300126) 恒通科技(sz300374) 富邦股份(sz300387) 科隆精化(sz300405) ,2016-12-30,TRUE,-0.03148162,0.023528132
2017-2-3,2017-2-28,新赛股份(sh600540) 湖南海利(sh600731) 惠天热电(sz000692) 三变科技(sz002112) 台基股份(sz300046) 万讯自控(sz300112) 锐奇股份(sz300126) 恒通科技(sz300374) 富邦股份(sz300387) 科隆精化(sz300405) ,惠天热电(sz000692) 三变科技(sz002112) 跃岭股份(sz002725) 凤形股份(sz002760) 万讯自控(sz300112) 锐奇股份(sz300126) 富邦股份(sz300387) 康跃科技(sz300391) 科隆精化(sz300405) 三鑫医疗(sz300453) ,2017-1-26,TRUE,0.067745624,0.019141312
2017-3-1,2017-3-31,惠天热电(sz000692) 三变科技(sz002112) 跃岭股份(sz002725) 凤形股份(sz002760) 万讯自控(sz300112) 锐奇股份(sz300126) 富邦股份(sz300387) 康跃科技(sz300391) 科隆精化(sz300405) 三鑫医疗(sz300453) ,钱江生化(sh600796) 长城动漫(sz000835) 国统股份(sz002205) 茂硕电源(sz002660) 跃岭股份(sz002725) 台基股份(sz300046) 锐奇股份(sz300126) 天晟新材(sz300169) 汇中股份(sz300371) 富邦股份(sz300387) ,2017-2-28,TRUE,-0.057679781,0.000938366
2017-4-5,2017-4-28,钱江生化(sh600796) 长城动漫(sz000835) 国统股份(sz002205) 茂硕电源(sz002660) 跃岭股份(sz002725) 台基股份(sz300046) 锐奇股份(sz300126) 天晟新材(sz300169) 汇中股份(sz300371) 富邦股份(sz300387) ,民丰特纸(sh600235) 湖南海利(sh600731) 茂硕电源(sz002660) 金亚科技(sz300028) 经纬电材(sz300120) 锐奇股份(sz300126) 亿通科技(sz300211) 安利股份(sz300218) 金运激光(sz300220) 富邦股份(sz300387) ,2017-3-31,TRUE,-0.107643448,-0.004716367
2017-5-2,2017-5-31,民丰特纸(sh600235) 湖南海利(sh600731) 茂硕电源(sz002660) 金亚科技(sz300028) 经纬电材(sz300120) 锐奇股份(sz300126) 亿通科技(sz300211) 安利股份(sz300218) 金运激光(sz300220) 富邦股份(sz300387) ,民丰特纸(sh600235) 国机通用(sh600444) 凤竹纺织(sh600493) 钱江生化(sh600796) 北矿科技(sh600980) 德宏股份(sh603701) 中水渔业(sz000798) 茂硕电源(sz002660) 台基股份(sz300046) 锐奇股份(sz300126) ,2017-4-28,TRUE,-0.095716313,0.01544589
2017-6-1,2017-6-30,民丰特纸(sh600235) 国机通用(sh600444) 凤竹纺织(sh600493) 钱江生化(sh600796) 北矿科技(sh600980) 德宏股份(sh603701) 中水渔业(sz000798) 茂硕电源(sz002660) 台基股份(sz300046) 锐奇股份(sz300126) ,民丰特纸(sh600235) 国机通用(sh600444) 惠泉啤酒(sh600573) 钱江生化(sh600796) 北矿科技(sh600980) 川润股份(sz002272) 茂硕电源(sz002660) 台基股份(sz300046) 锐奇股份(sz300126) 星徽精密(sz300464) ,2017-5-31,TRUE,0.058244181,0.049792721
2017-7-3,2017-7-31,民丰特纸(sh600235) 国机通用(sh600444) 惠泉啤酒(sh600573) 钱江生化(sh600796) 北矿科技(sh600980) 川润股份(sz002272) 茂硕电源(sz002660) 台基股份(sz300046) 锐奇股份(sz300126) 星徽精密(sz300464) ,吉林森工(sh600189) 国机通用(sh600444) 松发股份(sh603268) 德宏股份(sh603701) 茂硕电源(sz002660) 锐奇股份(sz300126) 富邦股份(sz300387) 惠伦晶体(sz300460) 星徽精密(sz300464) 达威股份(sz300535) ,2017-6-30,TRUE,-0.013433178,0.019382022
2017-8-1,2017-8-31,吉林森工(sh600189) 国机通用(sh600444) 松发股份(sh603268) 德宏股份(sh603701) 茂硕电源(sz002660) 锐奇股份(sz300126) 富邦股份(sz300387) 惠伦晶体(sz300460) 星徽精密(sz300464) 达威股份(sz300535) ,国机通用(sh600444) 松发股份(sh603268) 三毛派神(sz000779) 凤形股份(sz002760) 台基股份(sz300046) 锐奇股份(sz300126) 科隆股份(sz300405) 新元科技(sz300472) 达威股份(sz300535) 博士眼镜(sz300622) ,2017-7-31,TRUE,0.058430773,0.022531549
2017-9-1,2017-9-29,国机通用(sh600444) 松发股份(sh603268) 三毛派神(sz000779) 凤形股份(sz002760) 台基股份(sz300046) 锐奇股份(sz300126) 科隆股份(sz300405) 新元科技(sz300472) 达威股份(sz300535) 博士眼镜(sz300622) ,林海股份(sh600099) 惠泉啤酒(sh600573) 钱江生化(sh600796) 松发股份(sh603268) 双象股份(sz002395) 锐奇股份(sz300126) 梅安森(sz300275) 科隆股份(sz300405) 达威股份(sz300535) 博士眼镜(sz300622) ,2017-8-31,TRUE,0.033452392,0.003770189
2017-10-9,2017-10-31,林海股份(sh600099) 惠泉啤酒(sh600573) 钱江生化(sh600796) 松发股份(sh603268) 双象股份(sz002395) 锐奇股份(sz300126) 梅安森(sz300275) 科隆股份(sz300405) 达威股份(sz300535) 博士眼镜(sz300622) ,惠泉啤酒(sh600573) 钱江生化(sh600796) 上海天洋(sh603330) 天首发展(sz000611) 恒立实业(sz000622) 兰州黄河(sz000929) 乔治白(sz002687) 山东赫达(sz002810) 三晖电气(sz002857) 星徽精密(sz300464) ,2017-9-29,TRUE,0.007615714,0.044368565
2017-11-1,2017-11-30,惠泉啤酒(sh600573) 钱江生化(sh600796) 上海天洋(sh603330) 天首发展(sz000611) 恒立实业(sz000622) 兰州黄河(sz000929) 乔治白(sz002687) 山东赫达(sz002810) 三晖电气(sz002857) 星徽精密(sz300464) ,林海股份(sh600099) 惠泉啤酒(sh600573) 钱江生化(sh600796) 恒立实业(sz000622) 兰州黄河(sz000929) 国统股份(sz002205) 锐奇股份(sz300126) 梅安森(sz300275) 富邦股份(sz300387) 容大感光(sz300576) ,2017-10-31,TRUE,-0.078445928,-0.00015474
2017-12-1,2017-12-29,林海股份(sh600099) 惠泉啤酒(sh600573) 钱江生化(sh600796) 恒立实业(sz000622) 兰州黄河(sz000929) 国统股份(sz002205) 锐奇股份(sz300126) 梅安森(sz300275) 富邦股份(sz300387) 容大感光(sz300576) ,林海股份(sh600099) 上海天洋(sh603330) 国统股份(sz002205) 双象股份(sz002395) 中能电气(sz300062) 锐奇股份(sz300126) 仟源医药(sz300254) 同大股份(sz300321) 富邦股份(sz300387) 容大感光(sz300576) ,2017-11-30,TRUE,-0.02270815,0.006180575
2018-1-2,2018-1-31,林海股份(sh600099) 上海天洋(sh603330) 国统股份(sz002205) 双象股份(sz002395) 中能电气(sz300062) 锐奇股份(sz300126) 仟源医药(sz300254) 同大股份(sz300321) 富邦股份(sz300387) 容大感光(sz300576) ,上海天洋(sh603330) 恒立实业(sz000622) 国统股份(sz002205) 中能电气(sz300062) 锐奇股份(sz300126) 仟源医药(sz300254) 同大股份(sz300321) 富邦股份(sz300387) 惠伦晶体(sz300460) 容大感光(sz300576) ,2017-12-29,TRUE,-0.065205845,0.060790997
2018-2-1,2018-2-28,上海天洋(sh603330) 恒立实业(sz000622) 国统股份(sz002205) 中能电气(sz300062) 锐奇股份(sz300126) 仟源医药(sz300254) 同大股份(sz300321) 富邦股份(sz300387) 惠伦晶体(sz300460) 容大感光(sz300576) ,林海股份(sh600099) 上海天洋(sh603330) 恒立实业(sz000622) 国统股份(sz002205) 中能电气(sz300062) 锐奇股份(sz300126) 仟源医药(sz300254) 星徽精密(sz300464) 达威股份(sz300535) 容大感光(sz300576) ,2018-1-31,TRUE,-0.094266479,-0.058995767
2018-3-1,2018-3-30,林海股份(sh600099) 上海天洋(sh603330) 恒立实业(sz000622) 国统股份(sz002205) 中能电气(sz300062) 锐奇股份(sz300126) 仟源医药(sz300254) 星徽精密(sz300464) 达威股份(sz300535) 容大感光(sz300576) ,凤竹纺织(sh600493) 惠泉啤酒(sh600573) 上海天洋(sh603330) 艾艾精工(sh603580) 国统股份(sz002205) 凤形股份(sz002760) 中能电气(sz300062) 锐奇股份(sz300126) 富邦股份(sz300387) 达威股份(sz300535) ,2018-2-28,TRUE,0.095909269,-0.031101192
2018-4-2,2018-4-27,凤竹纺织(sh600493) 惠泉啤酒(sh600573) 上海天洋(sh603330) 艾艾精工(sh603580) 国统股份(sz002205) 凤形股份(sz002760) 中能电气(sz300062) 锐奇股份(sz300126) 富邦股份(sz300387) 达威股份(sz300535) ,凤竹纺织(sh600493) 美思德(sh603041) 上海天洋(sh603330) 恒立实业(sz000622) 通达动力(sz002576) 天顺股份(sz002800) 金运激光(sz300220) 佳沃股份(sz300268) 博士眼镜(sz300622) 沪宁股份(sz300669) ,2018-3-30,TRUE,-0.051161291,-0.036326792
2018-5-2,2018-5-31,凤竹纺织(sh600493) 美思德(sh603041) 上海天洋(sh603330) 恒立实业(sz000622) 通达动力(sz002576) 天顺股份(sz002800) 金运激光(sz300220) 佳沃股份(sz300268) 博士眼镜(sz300622) 沪宁股份(sz300669) ,凤竹纺织(sh600493) 美思德(sh603041) 上海天洋(sh603330) 神力股份(sh603819) 川润股份(sz002272) 通达动力(sz002576) 迪威迅(sz300167) 富邦股份(sz300387) 高澜股份(sz300499) 容大感光(sz300576) ,2018-4-27,TRUE,0.020491926,0.012111113
2018-6-1,2018-6-29,凤竹纺织(sh600493) 美思德(sh603041) 上海天洋(sh603330) 神力股份(sh603819) 川润股份(sz002272) 通达动力(sz002576) 迪威迅(sz300167) 富邦股份(sz300387) 高澜股份(sz300499) 容大感光(sz300576) ,新通联(sh603022) 松发股份(sh603268) 上海天洋(sh603330) 合金投资(sz000633) 通达动力(sz002576) 天顺股份(sz002800) 中能电气(sz300062) 先锋新材(sz300163) 迪威迅(sz300167) 惠伦晶体(sz300460) ,2018-5-31,TRUE,-0.076011071,-0.076636212
2018-7-2,2018-7-31,新通联(sh603022) 松发股份(sh603268) 上海天洋(sh603330) 合金投资(sz000633) 通达动力(sz002576) 天顺股份(sz002800) 中能电气(sz300062) 先锋新材(sz300163) 迪威迅(sz300167) 惠伦晶体(sz300460) ,林海股份(sh600099) 凤竹纺织(sh600493) 新通联(sh603022) 日盈电子(sh603286) 上海天洋(sh603330) 达意隆(sz002209) 通达动力(sz002576) 迪威迅(sz300167) 达威股份(sz300535) 华瑞股份(sz300626) ,2018-6-29,TRUE,0.078209231,0.001902603
2018-8-1,2018-8-31,林海股份(sh600099) 凤竹纺织(sh600493) 新通联(sh603022) 日盈电子(sh603286) 上海天洋(sh603330) 达意隆(sz002209) 通达动力(sz002576) 迪威迅(sz300167) 达威股份(sz300535) 华瑞股份(sz300626) ,林海股份(sh600099) 凤竹纺织(sh600493) 日盈电子(sh603286) 惠发股份(sh603536) 国统股份(sz002205) 通达动力(sz002576) 锐奇股份(sz300126) 沃施股份(sz300483) 达威股份(sz300535) 华瑞股份(sz300626) ,2018-7-31,TRUE,-0.132235679,-0.052068705
2018-9-3,2018-9-28,林海股份(sh600099) 凤竹纺织(sh600493) 日盈电子(sh603286) 惠发股份(sh603536) 国统股份(sz002205) 通达动力(sz002576) 锐奇股份(sz300126) 沃施股份(sz300483) 达威股份(sz300535) 华瑞股份(sz300626) ,林海股份(sh600099) 凤竹纺织(sh600493) 日盈电子(sh603286) 惠发股份(sh603536) 恒立实业(sz000622) 通达动力(sz002576) 好利来(sz002729) 锐奇股份(sz300126) 达威股份(sz300535) 博士眼镜(sz300622) ,2018-8-31,TRUE,0.010149707,0.031300045
2018-10-8,2018-10-31,林海股份(sh600099) 凤竹纺织(sh600493) 日盈电子(sh603286) 惠发股份(sh603536) 恒立实业(sz000622) 通达动力(sz002576) 好利来(sz002729) 锐奇股份(sz300126) 达威股份(sz300535) 博士眼镜(sz300622) ,凤竹纺织(sh600493) 新通联(sh603022) 日盈电子(sh603286) 天津普林(sz002134) 好利来(sz002729) 高科石化(sz002778) 锐奇股份(sz300126) 三鑫医疗(sz300453) 达威股份(sz300535) 金太阳(sz300606) ,2018-9-28,TRUE,0.021438011,-0.082890601
2018-11-1,2018-11-30,凤竹纺织(sh600493) 新通联(sh603022) 日盈电子(sh603286) 天津普林(sz002134) 好利来(sz002729) 高科石化(sz002778) 锐奇股份(sz300126) 三鑫医疗(sz300453) 达威股份(sz300535) 金太阳(sz300606) ,林海股份(sh600099) 美思德(sh603041) 达意隆(sz002209) 好利来(sz002729) 高科石化(sz002778) 黄山胶囊(sz002817) 三鑫医疗(sz300453) 达威股份(sz300535) 奥联电子(sz300585) 太龙照明(sz300650) ,2018-10-31,TRUE,0.108224183,0.00598322
2018-12-3,2018-12-28,林海股份(sh600099) 美思德(sh603041) 达意隆(sz002209) 好利来(sz002729) 高科石化(sz002778) 黄山胶囊(sz002817) 三鑫医疗(sz300453) 达威股份(sz300535) 奥联电子(sz300585) 太龙照明(sz300650) ,新通联(sh603022) 美思德(sh603041) 惠天热电(sz000692) 达意隆(sz002209) 宇顺电子(sz002289) 好利来(sz002729) 达威股份(sz300535) 奥联电子(sz300585) 博士眼镜(sz300622) 太龙照明(sz300650) ,2018-11-30,TRUE,-0.026218827,-0.051073379
2019-1-2,2019-1-31,新通联(sh603022) 美思德(sh603041) 惠天热电(sz000692) 达意隆(sz002209) 宇顺电子(sz002289) 好利来(sz002729) 达威股份(sz300535) 奥联电子(sz300585) 博士眼镜(sz300622) 太龙照明(sz300650) ,林海股份(sh600099) 美思德(sh603041) 天津普林(sz002134) 好利来(sz002729) 锐奇股份(sz300126) 星徽精密(sz300464) 深冷股份(sz300540) 奥联电子(sz300585) 金太阳(sz300606) 华瑞股份(sz300626) ,2018-12-28,TRUE,-0.035679085,0.063434806
2019-2-1,2019-2-28,林海股份(sh600099) 美思德(sh603041) 天津普林(sz002134) 好利来(sz002729) 锐奇股份(sz300126) 星徽精密(sz300464) 深冷股份(sz300540) 奥联电子(sz300585) 金太阳(sz300606) 华瑞股份(sz300626) ,新通联(sh603022) 美思德(sh603041) 达意隆(sz002209) 好利来(sz002729) 金运激光(sz300220) 深冷股份(sz300540) 奥联电子(sz300585) 博士眼镜(sz300622) 华瑞股份(sz300626) 太龙照明(sz300650) ,2019-1-31,TRUE,0.220251045,0.146094333
2019-3-1,2019-3-29,新通联(sh603022) 美思德(sh603041) 达意隆(sz002209) 好利来(sz002729) 金运激光(sz300220) 深冷股份(sz300540) 奥联电子(sz300585) 博士眼镜(sz300622) 华瑞股份(sz300626) 太龙照明(sz300650) ,美思德(sh603041) 南卫股份(sh603880) 惠天热电(sz000692) 信隆健康(sz002105) 凤形股份(sz002760) 黄山胶囊(sz002817) 奥联电子(sz300585) 博士眼镜(sz300622) 华瑞股份(sz300626) 太龙照明(sz300650) ,2019-2-28,TRUE,0.221214051,0.055314673
2019-4-1,2019-4-30,美思德(sh603041) 南卫股份(sh603880) 惠天热电(sz000692) 信隆健康(sz002105) 凤形股份(sz002760) 黄山胶囊(sz002817) 奥联电子(sz300585) 博士眼镜(sz300622) 华瑞股份(sz300626) 太龙照明(sz300650) ,美思德(sh603041) 宁波精达(sh603088) 上海天洋(sh603330) 惠发股份(sh603536) 三变科技(sz002112) 黄山胶囊(sz002817) 安利股份(sz300218) 海波重科(sz300517) 三超新材(sz300554) 怡达股份(sz300721) ,2019-3-29,TRUE,-0.064966248,0.010554342
2019-5-6,2019-5-31,美思德(sh603041) 宁波精达(sh603088) 上海天洋(sh603330) 惠发股份(sh603536) 三变科技(sz002112) 黄山胶囊(sz002817) 安利股份(sz300218) 海波重科(sz300517) 三超新材(sz300554) 怡达股份(sz300721) ,博闻科技(sh600883) 上海天洋(sh603330) 惠发股份(sh603536) 南卫股份(sh603880) 黄山胶囊(sz002817) 安利股份(sz300218) 三超新材(sz300554) 博士眼镜(sz300622) 太龙照明(sz300650) 华信新材(sz300717) ,2019-4-30,TRUE,0.030843405,-0.072426473
2019-6-3,2019-6-28,博闻科技(sh600883) 上海天洋(sh603330) 惠发股份(sh603536) 南卫股份(sh603880) 黄山胶囊(sz002817) 安利股份(sz300218) 三超新材(sz300554) 博士眼镜(sz300622) 太龙照明(sz300650) 华信新材(sz300717) ,凤竹纺织(sh600493) 上海天洋(sh603330) 南卫股份(sh603880) 正虹科技(sz000702) 联诚精密(sz002921) 金刚玻璃(sz300093) 迪威迅(sz300167) 安利股份(sz300218) 三超新材(sz300554) 太龙照明(sz300650) ,2019-5-31,TRUE,0.027966389,0.053942515
2019-7-1,2019-7-31,凤竹纺织(sh600493) 上海天洋(sh603330) 南卫股份(sh603880) 正虹科技(sz000702) 联诚精密(sz002921) 金刚玻璃(sz300093) 迪威迅(sz300167) 安利股份(sz300218) 三超新材(sz300554) 太龙照明(sz300650) ,凤竹纺织(sh600493) 上海天洋(sh603330) 正虹科技(sz000702) 深南股份(sz002417) 黄山胶囊(sz002817) 联诚精密(sz002921) 金刚玻璃(sz300093) 安利股份(sz300218) 美力科技(sz300611) 怡达股份(sz300721) ,2019-6-28,TRUE,0.009148012,0.002553854
2019-8-1,2019-8-30,凤竹纺织(sh600493) 上海天洋(sh603330) 正虹科技(sz000702) 深南股份(sz002417) 黄山胶囊(sz002817) 联诚精密(sz002921) 金刚玻璃(sz300093) 安利股份(sz300218) 美力科技(sz300611) 怡达股份(sz300721) ,凤竹纺织(sh600493) 宁波富邦(sh600768) 美思德(sh603041) 南卫股份(sh603880) 凤形股份(sz002760) 英派斯(sz002899) 锐奇股份(sz300126) 梅安森(sz300275) 三超新材(sz300554) 金太阳(sz300606) ,2019-7-31,TRUE,0.025028036,-0.009326374
2019-9-2,2019-9-30,凤竹纺织(sh600493) 宁波富邦(sh600768) 美思德(sh603041) 南卫股份(sh603880) 凤形股份(sz002760) 英派斯(sz002899) 锐奇股份(sz300126) 梅安森(sz300275) 三超新材(sz300554) 金太阳(sz300606) ,凤竹纺织(sh600493) 上海天洋(sh603330) 天安新材(sh603725) 南卫股份(sh603880) 黄山胶囊(sz002817) 锐奇股份(sz300126) 安利股份(sz300218) 横河模具(sz300539) 盛弘股份(sz300693) 怡达股份(sz300721) ,2019-8-30,TRUE,0.035812759,0.003932003
2019-10-8,2019-10-31,凤竹纺织(sh600493) 上海天洋(sh603330) 天安新材(sh603725) 南卫股份(sh603880) 黄山胶囊(sz002817) 锐奇股份(sz300126) 安利股份(sz300218) 横河模具(sz300539) 盛弘股份(sz300693) 怡达股份(sz300721) ,凤竹纺织(sh600493) 天目药业(sh600671) 博闻科技(sh600883) 上海亚虹(sh603159) 上海天洋(sh603330) 天安新材(sh603725) 长城影视(sz002071) 西部牧业(sz300106) 三超新材(sz300554) 美力科技(sz300611) ,2019-9-30,TRUE,0.019212645,0.01893287
